id,predicted,actual
1271,1,1
1485,2,0
1112,2,2
1428,0,0
1311,2,2
1409,0,0
328,2,2
1317,0,0
1395,2,2
1349,2,2
1278,2,0
1392,2,2
1497,1,2
1491,0,2
1422,2,0
1315,1,1
1299,2,0
536,2,2
1418,1,2
931,2,2
304,2,2
285,1,0
1336,0,2
1461,2,2
1305,2,2
1213,2,2
1408,0,0
1348,0,2
1387,0,0
1346,1,2
1478,0,2
1477,2,0
1314,1,1
1302,0,0
1330,2,2
1275,2,2
10,1,2
1385,2,2
1337,0,2
1445,2,2
1309,2,2
1493,2,2
762,2,2
1446,2,2
290,2,2
845,2,2
1397,0,0
1239,2,2
1296,2,2
190,2,2
1377,0,0
1390,2,2
1416,2,2
1322,0,2
305,2,2
1495,0,2
1371,2,2
1465,2,0
1481,0,0
1293,0,1
1404,2,0
179,2,2
1353,1,0
1464,1,0
1383,0,0
1419,0,0
1460,0,2
450,2,2
1283,0,0
269,2,2
1470,2,2
1447,0,0
1482,0,2
1220,2,2
1359,0,0
186,2,2
1241,2,2
1413,2,2
1361,1,1
1380,1,0
1448,0,0
1331,0,0
1467,0,0
204,2,2
1463,1,1
364,0,2
763,1,1
1105,2,2
1324,0,2
1026,2,2
1386,1,1
1364,2,2
1468,0,0
813,0,2
1472,0,2
524,2,2
1430,2,2
870,2,2
1350,1,2
866,2,2
713,2,2
1426,0,2
1375,0,0
1492,0,2
1423,1,2
74,2,2
630,2,2
1282,2,2
1437,2,2
1424,2,2
1328,2,2
1207,2,2
681,1,2
1473,2,0
1458,2,0
1356,2,2
438,1,2
939,2,2
1357,2,2
936,1,2
1352,2,2
1325,2,2
1284,2,2
1393,2,2
1163,2,2
1340,2,1
18,1,2
284,2,2
615,1,2
1382,2,0
1240,0,2
426,2,2
1490,2,0
282,2,2
794,2,2
1372,2,0
215,2,2
700,2,2
971,2,2
112,2,2
306,2,2
598,2,2
251,2,2
1295,0,0
479,2,0
804,2,2
998,2,2
724,2,2
765,2,2
220,2,2
1450,2,0
1343,2,1
1443,1,2
1462,2,2
1363,0,2
1329,0,2
1367,0,0
331,2,2
130,2,2
1396,2,0
92,2,0
515,0,2
614,2,2
1398,2,0
485,2,2
795,2,2
1355,0,0
510,0,2
1399,2,2
1368,2,2
57,2,2
679,0,2
1369,2,0
1403,0,2
1449,2,2
1224,0,2
1412,2,2
226,2,2
1285,2,0
1298,2,2
1297,2,2
651,2,2
722,2,2
1048,2,2
55,1,2
1206,1,2
1321,2,2
564,2,2
1414,0,2
1444,2,2
1335,2,2
710,1,2
211,2,2
1332,2,2
1475,2,2
1453,1,2
1376,0,1
1318,0,1
1289,0,0
1420,1,1
1480,2,2
412,2,2
1342,2,2
1374,2,2
522,2,2
975,2,2
1407,1,0
1411,0,2
1338,0,0
956,2,2
108,1,2
891,0,2
266,2,2
1326,2,2
897,0,2
1498,2,2
1281,2,1
359,0,2
1273,1,2
1043,2,2
1433,1,2
1389,0,0
386,2,2
1237,2,2
1391,1,1
1221,0,2
546,2,2
133,2,2
257,0,2
175,2,2
676,2,2
1038,2,2
1312,1,0
990,0,2
715,1,2
1272,0,0
1474,1,1
1469,2,2
1366,0,0
1303,0,0
1345,2,2
1432,2,2
1415,0,0
1307,2,2
1417,2,2
1333,2,2
1401,2,2
1294,2,2
1434,2,2
1400,1,0
86,2,2
691,2,2
1291,2,0
1292,1,2
669,2,2
607,1,2
1370,0,2
1381,0,0
1280,0,0
1421,1,0
1260,2,2
1344,0,2
1466,0,2
1429,1,2
642,2,2
1384,1,2
1455,0,0
1320,2,1
1327,0,0
1306,1,1
301,1,2
1177,0,2
144,2,2
945,1,2
1476,2,2
325,2,2
1029,2,2
1471,0,2
101,2,2
819,0,2
1406,2,2
1484,1,1
1388,0,1
1263,2,2
1456,0,0
1438,0,0
1310,1,1
1365,2,2
1288,0,1
66,2,2
1279,2,2
1378,0,0
1425,2,2
980,0,2
1261,2,2
1268,2,2
1457,0,0
1436,2,0
368,2,2
1454,0,2
1427,0,1
1442,2,0
1323,1,2
1118,2,2
610,2,2
695,2,0
1496,0,2
237,2,2
1172,2,2
997,2,2
134,2,2
1452,2,2
665,0,2
1488,2,0
72,2,2
1394,2,0
1351,0,0
1405,0,0
501,2,2
496,2,2
351,2,2
1274,0,2
1341,1,0
1479,2,2
1334,0,1
757,2,2
443,2,2
383,2,2
1286,2,2
674,2,2
249,2,2
1308,2,2
1313,2,1
1276,0,0
1301,0,2
1300,2,2
1347,2,2
1373,2,2
1362,1,0
1494,2,2
1287,2,2
1277,2,2
1052,2,2
183,2,2
107,2,2
313,2,2
353,2,2
118,2,2
685,2,2
1354,2,0
720,0,2
311,2,2
1319,2,2
1489,1,0
1439,1,2
1068,0,2
1339,2,2
375,1,2
1358,2,2
542,2,2
1402,0,0
1435,2,0
1487,2,2
933,1,2
1440,0,0
591,2,2
1459,0,0
295,0,2
1316,2,0
1056,2,2
1451,0,2
1486,2,2
128,2,2
972,0,2
1483,0,0
439,0,2
454,2,2
1360,1,1
1441,2,2
1156,2,2
287,2,2
699,0,0
994,1,2
1431,1,0
1290,0,0
363,2,2
1304,0,0
1379,0,0
