id,predicted,actual
1271,1,0
1485,2,2
1112,2,2
1428,2,2
1311,1,2
1409,1,1
328,1,2
1317,2,2
1395,2,2
1349,0,0
1278,2,2
1392,2,2
1497,1,2
1491,1,2
1422,2,2
1315,2,2
1299,1,1
536,1,2
1418,2,2
931,2,2
304,2,2
285,1,2
1336,2,2
1461,0,2
1305,2,2
1213,1,2
1408,2,2
1348,1,2
1387,2,2
1346,1,1
1478,1,0
1477,1,2
1314,2,2
1302,1,2
1330,2,2
1275,2,2
10,2,2
1385,1,2
1337,2,2
1445,2,2
1309,1,2
1493,1,2
762,2,2
1446,0,0
290,2,2
845,2,2
1397,2,2
1239,2,2
1296,2,2
190,0,2
1377,2,2
1390,1,2
1416,2,2
1322,2,2
305,0,2
1495,2,2
1371,2,2
1465,1,1
1481,2,2
1293,2,2
1404,1,1
179,2,2
1353,1,0
1464,2,2
1383,0,2
1419,2,2
1460,1,2
450,2,2
1283,2,2
269,2,2
1470,1,2
1447,1,0
1482,1,1
1220,0,2
1359,2,2
186,2,2
1241,2,2
1413,0,2
1361,1,0
1380,1,1
1448,2,2
1331,0,2
1467,1,1
204,2,2
1463,2,2
364,1,2
763,2,2
1105,1,2
1324,0,2
1026,2,2
1386,2,2
1364,2,2
1468,1,1
813,2,2
1472,0,2
524,0,2
1430,2,2
870,2,2
1350,1,0
866,2,2
713,2,2
1426,1,0
1375,2,2
1492,0,2
1423,1,1
74,0,2
630,1,2
1282,0,2
1437,0,0
1424,2,2
1328,0,2
1207,2,2
681,2,2
1473,1,2
1458,2,2
1356,1,2
438,1,2
939,1,2
1357,2,2
936,2,2
1352,2,2
1325,0,0
1284,2,2
1393,1,0
1163,1,2
1340,2,2
18,2,2
284,2,2
615,2,2
1382,2,2
1240,1,2
426,1,2
1490,2,2
282,2,2
794,2,2
1372,2,2
215,2,2
700,2,2
971,2,2
112,1,2
306,2,2
598,2,2
251,2,2
1295,1,2
479,2,2
804,2,2
998,2,2
724,2,2
765,2,2
220,2,2
1450,2,2
1343,2,2
1443,2,2
1462,1,2
1363,1,2
1329,1,1
1367,2,2
331,1,2
130,2,2
1396,2,2
92,2,2
515,2,2
614,1,2
1398,0,1
485,2,2
795,0,2
1355,1,0
510,2,2
1399,2,2
1368,0,2
57,0,2
679,1,2
1369,0,2
1403,1,2
1449,1,1
1224,0,0
1412,1,2
226,2,2
1285,1,2
1298,0,2
1297,0,2
651,1,2
722,2,2
1048,1,2
55,2,2
1206,2,2
1321,2,2
564,2,2
1414,0,2
1444,2,2
1335,1,2
710,1,2
211,2,2
1332,1,2
1475,0,2
1453,0,2
1376,1,2
1318,2,2
1289,0,2
1420,2,2
1480,1,0
412,2,2
1342,2,2
1374,1,1
522,1,2
975,2,2
1407,1,2
1411,0,0
1338,1,2
956,1,2
108,1,2
891,1,2
266,0,2
1326,2,2
897,1,2
1498,2,2
1281,2,2
359,2,2
1273,0,2
1043,2,2
1433,0,0
1389,1,2
386,2,2
1237,2,2
1391,1,2
1221,2,2
546,2,2
133,1,2
257,2,2
175,2,2
676,2,2
1038,2,2
1312,1,1
990,2,2
715,2,2
1272,1,2
1474,1,0
1469,2,2
1366,2,2
1303,1,2
1345,1,2
1432,2,2
1415,1,1
1307,2,2
1417,2,2
1333,1,1
1401,1,2
1294,2,2
1434,2,2
1400,1,1
86,1,2
691,2,2
1291,1,2
1292,2,2
669,2,2
607,1,2
1370,1,1
1381,1,2
1280,2,2
1421,1,2
1260,2,2
1344,1,0
1466,1,1
1429,1,2
642,2,2
1384,0,0
1455,0,2
1320,2,2
1327,2,2
1306,1,2
301,2,2
1177,2,2
144,0,2
945,2,2
1476,1,2
325,2,2
1029,2,2
1471,1,1
101,2,2
819,0,0
1406,0,0
1484,0,2
1388,2,2
1263,2,2
1456,2,2
1438,2,2
1310,1,2
1365,1,1
1288,2,2
66,2,2
1279,2,2
1378,2,2
1425,1,1
980,2,2
1261,2,2
1268,1,2
1457,2,2
1436,2,2
368,2,2
1454,1,0
1427,2,2
1442,1,1
1323,1,1
1118,2,2
610,2,2
695,2,2
1496,2,2
237,1,2
1172,2,2
997,1,2
134,2,2
1452,2,2
665,2,2
1488,1,0
72,2,2
1394,2,2
1351,2,2
1405,2,2
501,2,2
496,2,2
351,2,2
1274,2,2
1341,1,2
1479,2,2
1334,1,0
757,2,2
443,0,2
383,2,2
1286,0,1
674,1,2
249,1,2
1308,1,2
1313,2,2
1276,0,2
1301,1,2
1300,2,2
1347,2,2
1373,2,2
1362,2,2
1494,2,2
1287,2,2
1277,0,2
1052,2,2
183,2,2
107,2,2
313,0,2
353,0,2
118,0,2
685,2,2
1354,2,2
720,2,2
311,2,2
1319,1,2
1489,2,2
1439,1,2
1068,2,2
1339,2,2
375,2,2
1358,2,2
542,2,2
1402,2,2
1435,2,2
1487,1,0
933,1,2
1440,2,2
591,0,2
1459,2,2
295,1,2
1316,0,0
1056,2,2
1451,1,1
1486,1,2
128,2,2
972,2,2
1483,2,2
439,2,2
454,2,2
1360,0,2
1441,0,2
1156,2,2
287,0,2
699,0,2
994,2,2
1431,1,2
1290,2,2
363,2,2
1304,1,2
1379,1,2
